Cost:  0.2083759172466081 params:  {'growth': 0.01, 'eps': 0.26945376511063085, 'a': 0.9983061543886393, 'b': 0.7516184957166139, 'gamma_f': 0.5973456746880833, 'gamma_g': 0.5973456746880833, 'eta_g': 0.3766794375793926, 'eta_f': 0.3766794375793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909086502451, 'beta_0': -0.23670610568566225, 'delta_sig': 0.6936782072099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.2083759341840452 params:  {'growth': 0.01, 'eps': 0.26945377511063084, 'a': 0.9983061543886393, 'b': 0.7516184957166139, 'gamma_f': 0.5973456746880833, 'gamma_g': 0.5973456746880833, 'eta_g': 0.3766794375793926, 'eta_f': 0.3766794375793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909086502451, 'beta_0': -0.23670610568566225, 'delta_sig': 0.6936782072099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.20837592349298198 params:  {'growth': 0.01, 'eps': 0.26945376511063085, 'a': 0.9983061543886393, 'b': 0.7516184957166139, 'gamma_f': 0.5973456746880833, 'gamma_g': 0.5973456746880833, 'eta_g': 0.3766794375793926, 'eta_f': 0.3766794375793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909086502451, 'beta_0': -0.23670610568566225, 'delta_sig': 0.6936782172099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.20837592101618324 params:  {'growth': 0.01, 'eps': 0.26945376511063085, 'a': 0.9983061543886393, 'b': 0.7516184957166139, 'gamma_f': 0.5973456746880833, 'gamma_g': 0.5973456746880833, 'eta_g': 0.3766794375793926, 'eta_f': 0.3766794375793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909086502451, 'beta_0': -0.23670609568566225, 'delta_sig': 0.6936782072099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.20837594242185153 params:  {'growth': 0.01, 'eps': 0.26945376511063085, 'a': 0.9983061543886393, 'b': 0.7516184957166139, 'gamma_f': 0.5973456746880833, 'gamma_g': 0.5973456746880833, 'eta_g': 0.3766794375793926, 'eta_f': 0.3766794375793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909186502451, 'beta_0': -0.23670610568566225, 'delta_sig': 0.6936782072099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.20837592227776272 params:  {'growth': 0.01, 'eps': 0.26945376511063085, 'a': 0.9983061643886394, 'b': 0.7516184957166139, 'gamma_f': 0.5973456746880833, 'gamma_g': 0.5973456746880833, 'eta_g': 0.3766794375793926, 'eta_f': 0.3766794375793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909086502451, 'beta_0': -0.23670610568566225, 'delta_sig': 0.6936782072099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.20837591564151153 params:  {'growth': 0.01, 'eps': 0.26945376511063085, 'a': 0.9983061543886393, 'b': 0.7516185057166139, 'gamma_f': 0.5973456746880833, 'gamma_g': 0.5973456746880833, 'eta_g': 0.3766794375793926, 'eta_f': 0.3766794375793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909086502451, 'beta_0': -0.23670610568566225, 'delta_sig': 0.6936782072099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.2083759236352225 params:  {'growth': 0.01, 'eps': 0.26945376511063085, 'a': 0.9983061543886393, 'b': 0.7516184957166139, 'gamma_f': 0.5973456846880834, 'gamma_g': 0.5973456846880834, 'eta_g': 0.3766794375793926, 'eta_f': 0.3766794375793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909086502451, 'beta_0': -0.23670610568566225, 'delta_sig': 0.6936782072099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.20837593098578952 params:  {'growth': 0.01, 'eps': 0.26945376511063085, 'a': 0.9983061543886393, 'b': 0.7516184957166139, 'gamma_f': 0.5973456746880833, 'gamma_g': 0.5973456746880833, 'eta_g': 0.3766794475793926, 'eta_f': 0.3766794475793926, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1515909086502451, 'beta_0': -0.23670610568566225, 'delta_sig': 0.6936782072099136, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.22357518300881424 params:  {'growth': 0.01, 'eps': 0.25666966580103145, 'a': 0.9954894879343743, 'b': 0.7586165648279405, 'gamma_f': 0.5939119365418417, 'gamma_g': 0.5939119365418417, 'eta_g': 0.3705407967889669, 'eta_f': 0.3705407967889669, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1400901207434421, 'beta_0': -0.24905461610648116, 'delta_sig': 0.6890866159912453, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.2235751908456487 params:  {'growth': 0.01, 'eps': 0.25666967580103145, 'a': 0.9954894879343743, 'b': 0.7586165648279405, 'gamma_f': 0.5939119365418417, 'gamma_g': 0.5939119365418417, 'eta_g': 0.3705407967889669, 'eta_f': 0.3705407967889669, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.1400901207434421, 'beta_0': -0.24905461610648116, 'delta_sig': 0.6890866159912453, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
